euid,leid,coords,address,elementary_school,middle_school,senior_school,ward
9e304787cb,558875481.0,"(38.87508, -77.00619, 0.0)",1263 First Street SE Washington DC 20003,Van Ness Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
766c7d6693,581753485.0,"(38.91281, -77.0262, 0.0)",1702 10th Street NW Washington DC 20001,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 6 
dd7d35ba41,274313917.0,"(38.89087, -76.991, 0.0)",3 Walter Houp Court NE Washington DC 20002,Maury Elementary,Eliot-Hine Middle School,Eastern Senior High,Ward 6 
b175922403,555195769.0,"(38.93432, -77.02828, 0.0)",3555 11st Street NW Washington DC 20010,Raymond Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 1 
69cf57274a,581753345.0,"(38.90886, -77.05841, 0.0)",1410 29th Street NW Washington DC 20007,Hyde-Addison Elementary,Hardy Middle School,Wilson Senior High,Ward 2 
124c30df83,587253857.0,"(38.92355, -77.05634, 0.0)",2701 Calvert Street Washington DC 20008,Oyster-Adams Elementary,Oyster-Adams Middle School,Wilson Senior High,Ward 3 
e527916455,581753201.0,"(38.96709, -77.02049, 0.0)",514 Tuckerman Street NW Washington DC 20011,Whittier Elementary,New North Middle School,Coolidge Senior High,Ward 4 
07c1f8ad9e,587254193.0,"(38.95852, -77.00272, 0.0)",5661 3rd Street Washington DC 20011,Lasalle-Backus Elementary,New North Middle School,Coolidge Senior High,Ward 4 
f3c410f64a,587254105.0,"(38.92944, -77.03003, 0.0)",1302 Kenyon Street NE Washington DC 20010,Tubman Elementary,Columbia Heights Middle School,Cardozo Senior High,Ward 1 
55939d859d,581753321.0,"(38.92542, -77.09807, 0.0)",2816 Battery Place NW Washington DC 20016,Key Elementary,Hardy Middle School,Wilson Senior High,Ward 3 
0cf84d2bc2,587253445.0,"(38.8965908, -76.9927549, 0.0)",512 10th Street NE Washington DC 20002,Ludlow-Taylor Elementary,Stuart-Hobson Middle School,Eastern Senior High,Ward 6 
42b92d7b86,587254309.0,"(38.97552, -77.02643, 0.0)",7019 Georgia Avenue NW Washington DC 20012,Takoma Elementary,New North Middle School,Coolidge Senior High,Ward 4 
0a2f2f12dd,581753541.0,"(38.95964, -77.01917, 0.0)",423 Marietta Place NW Washington DC 20011,Whittier Elementary,New North Middle School,Coolidge Senior High,Ward 4 
b963bcb18d,581753297.0,"(38.92503, -77.02886, 0.0)",1225 Fairmont Street NW Washington DC 20009,Tubman Elementary,Columbia Heights Middle School,Cardozo Senior High,Ward 1 
92ad9e9812,503853073.0,"(38.93074, -77.05787, 0.0)",2800 Devonshire Place NW Washington DC 20008,Eaton Elementary,Hardy Middle School,Wilson Senior High,Ward 3 
82ae186973,581753253.0,"(38.95454, -77.01876, 0.0)",427 Ingraham Street NW Washington DC 20011,Truesdell Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 4 
5e108a121a,581753477.0,"(38.9329, -77.02713, 0.0)",3500 New Hampshire Avenue NW Washington DC 20010,Raymond Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 1 
379779fb5b,587253473.0,"(38.92161, -77.00183, 0.0)",2409 3rd Street NE Washington DC 20002,Langley Elementary,McKinley Middle School,Dunbar Senior High,Ward 5 
6451bb6f3e,275125373.0,"(38.92207, -77.03687, 0.0)",2440 16th Street NW Washington DC 20009,"Reed, Marie Elementary",Columbia Heights Middle School,Cardozo Senior High,Ward 1 
01fc89ac4a,587255025.0,"(38.92939, -76.96422, 0.0)",102 Vista Avenue Washington DC 21061,Langdon Elementary,McKinley Middle School,Dunbar Senior High,Ward 5 
67d5bb7da1,587253881.0,"(38.91315, -77.03821, 0.0)",1717 17th Street NW Washington DC 20009,Ross Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
11c7a7f3de,587254597.0,"(38.9587, -77.0862, 0.0)",209 44th Street NW Washington DC 20021,Janney Elementary,Deal Middle School,Wilson Senior High,Ward 3 
dde4144765,587254201.0,"(38.94374, -77.02368, 0.0)",4324 8th Street NW Washington DC 20011,Barnard Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 4 
